uuid,title,slide_url,paper_url
1e4ef666-43b0-4030-ad21-43bc9bd55b11,Skipping the Frame-Level: Event-Based Piano Transcription With Neural Semi-CRFs,nips.cc/media/neurips-2021/Slides/25930.pdf,openreview.net/pdf?id=DGA8XbJ8FVd
03d4bde1-a072-4ffb-b2af-52fa9cd95a6a,Robust and Fully-Dynamic Coreset for Continuous-and-Bounded Learning (With Outliers) Problems,nips.cc/media/neurips-2021/Slides/26631.pdf,openreview.net/pdf?id=we8d1FjibAc
6468a291-6c58-4157-beda-c5af54718caf,Dynamic Bottleneck for Robust Self-Supervised Exploration,nips.cc/media/neurips-2021/Slides/28749.pdf,openreview.net/pdf?id=-t6TeG3A6Do
8716376c-a691-4de5-b758-e2a41865d915,Multi-Armed Bandits with Bounded Arm-Memory: Near-Optimal Guarantees for Best-Arm Identification and Regret Minimization,nips.cc/media/neurips-2021/Slides/28714.pdf,openreview.net/pdf?id=sKWgT8WppC3
0c2cf1f1-5c8b-470d-8a67-e9d48c87e374,Cardinality-Regularized Hawkes-Granger Model,nips.cc/media/neurips-2021/Slides/27855_O3GiVn6.pdf,openreview.net/pdf?id=gkyg2aOE6MU
44e60223-c3d4-43f9-b2c5-bdebac5a624c,DOCTOR: A Simple Method for Detecting Misclassification Errors,nips.cc/media/neurips-2021/Slides/28016.pdf,openreview.net/pdf?id=FHQBDiMwvK
8572ed10-6778-46a0-b2b0-d9c1ce1eb387,A novel notion of barycenter for probability distributions based on optimal weak mass transport,nips.cc/media/neurips-2021/Slides/28652.pdf,openreview.net/pdf?id=PwVruv8s3_Q
e6b17df3-9c34-4b3b-8631-48bb963eec8e,Confident Anchor-Induced Multi-Source Free Domain Adaptation,nips.cc/media/neurips-2021/Slides/28641.pdf,openreview.net/pdf?id=EAdJEN8xKUl
962198f6-0ce1-4558-b41a-246f1b04922e,Temporally Abstract Partial Models,nips.cc/media/neurips-2021/Slides/26609.pdf,openreview.net/pdf?id=LGvlCcMgWqb
790f29d6-82fb-4821-889b-12380921ada9,Implicit Semantic Response Alignment for Partial Domain Adaptation,nips.cc/media/neurips-2021/Slides/28626.pdf,openreview.net/pdf?id=LNXTIrMqyGz
4f8471e7-1e06-4f9d-ba2e-730bb6962cf5,Memory Efficient Meta-Learning with Large Images,nips.cc/media/neurips-2021/Slides/27033.pdf,openreview.net/pdf?id=x2pF7Tt_S5u
c6f7f90a-fe34-4e07-92f0-c2e48b9f82f9,A unified framework for bandit multiple testing,nips.cc/media/neurips-2021/Slides/27044_LbJfpiK.pdf,openreview.net/pdf?id=0fPgXqP1Mq
713f08c9-b4c3-45e4-8e56-143d40bbcd2d,SyncTwin: Treatment Effect Estimation with Longitudinal Outcomes,nips.cc/media/neurips-2021/Slides/27560.pdf,openreview.net/pdf?id=52YubM-VC6H
b1d38bd6-2b92-4223-9ff6-3f7a461e89ab,The Inductive Bias of Quantum Kernels,nips.cc/media/neurips-2021/Slides/27858.pdf,openreview.net/pdf?id=iNqrOCPRmYQ
5c066421-43d2-4313-a2ea-b34b6887d100,The Many Faces of Adversarial Risk,nips.cc/media/neurips-2021/Slides/28046.pdf,openreview.net/pdf?id=-8QSntMuqBV
0f1906b7-b2fc-434e-80c0-2640e5d6a231,"Provable Model-based Nonlinear Bandit and Reinforcement Learning: Shelve Optimism, Embrace Virtual Curvature",nips.cc/media/neurips-2021/Slides/28584.pdf,openreview.net/pdf?id=eOEs9Wa91qH
480b1e38-8685-4f11-91b3-08781297707d,Challenges and Opportunities in High Dimensional Variational Inference,nips.cc/media/neurips-2021/Slides/28575.pdf,openreview.net/pdf?id=_A4-JP8d_f
e5806d7b-ec59-457b-b0e5-3e061bb92873,BARTScore: Evaluating Generated Text as Text Generation,nips.cc/media/neurips-2021/Slides/28542.pdf,openreview.net/pdf?id=5Ya8PbvpZ9
53ef6816-1560-43f3-8263-fad50507d7cf,Dueling Bandits with Team Comparisons,nips.cc/media/neurips-2021/Slides/27126_FUvb2vC.pdf,openreview.net/pdf?id=9PexctnBali
12332b48-db71-4e9b-81ff-777221c89d5e,Automated Discovery of Adaptive Attacks on Adversarial Defenses,nips.cc/media/neurips-2021/Slides/28530.pdf,openreview.net/pdf?id=nWz-Si-uTzt
52b786c3-3577-4524-9209-3ae18aa4d54b,NORESQA: A Framework for Speech Quality Assessment using Non-Matching References,nips.cc/media/neurips-2021/Slides/27147.pdf,openreview.net/pdf?id=RwASmRpLp-
3caadd75-f8ff-4604-84f6-f3a103f8acd8,Test-Time Classifier Adjustment Module for Model-Agnostic Domain Generalization,nips.cc/media/neurips-2021/Slides/27675.pdf,openreview.net/pdf?id=e_yvNqkJKAW
b095f105-dbda-44a3-b619-9d65e0f7ade3,The effectiveness of feature attribution methods and its correlation with automatic evaluation scores,nips.cc/media/neurips-2021/Slides/28492.pdf,openreview.net/pdf?id=OKPS9YdZ8Va
662b293d-3c07-4cd3-8895-023491e65003,Estimating Multi-cause Treatment Effects via Single-cause Perturbation,nips.cc/media/neurips-2021/Slides/27659.pdf,openreview.net/pdf?id=oz3t1BrfNO
048561f6-0ef9-404f-8281-016f5ff3e783,"Statistical Undecidability in Linear, Non-Gaussian Causal Models in the Presence of Latent Confounders",nips.cc/media/neurips-2021/Slides/28491.pdf,openreview.net/pdf?id=KmPSe18DGLs
ffbc01a1-40db-4772-8aff-01f14766260b,End-to-end Multi-modal Video Temporal Grounding,nips.cc/media/neurips-2021/Slides/27774.pdf,openreview.net/pdf?id=ybw2U70q_Vd
51bea4f6-6fe1-4b7a-97bb-70c8683b6e76,NeurWIN: Neural Whittle Index Network For Restless Bandits Via Deep RL,nips.cc/media/neurips-2021/Slides/28446.pdf,openreview.net/pdf?id=5sCVR3Lq6F
def30486-ef5a-483c-8c2f-a6ba54599cc9,Conditioning Sparse Variational Gaussian Processes for Online Decision-making,nips.cc/media/neurips-2021/Slides/26863.pdf,openreview.net/pdf?id=CCvpHGFOzC3
