,titles,slides,papers
37,Muesli: Combining Improvements in Policy Optimization,icml.cc/media/icml-2021/Slides/10769.pdf,proceedings.mlr.press/v139/hessel21a/hessel21a.pdf
38,Tesseract: Tensorised Actors for Multi-Agent Reinforcement Learning,icml.cc/media/icml-2021/Slides/8723.pdf,proceedings.mlr.press/v139/mahajan21a/mahajan21a.pdf
39,Unifying Vision-and-Language Tasks via Text Generation,icml.cc/media/icml-2021/Slides/9961.pdf,proceedings.mlr.press/v139/cho21a/cho21a.pdf
40,What Are Bayesian Neural Network Posteriors Really Like?,icml.cc/media/icml-2021/Slides/10335.pdf,proceedings.mlr.press/v139/izmailov21a/izmailov21a.pdf
41,PID Accelerated Value Iteration Algorithm,icml.cc/media/icml-2021/Slides/8725_GylPZ7z.pdf,proceedings.mlr.press/v139/farahmand21a/farahmand21a.pdf
42,Hierarchical VAEs Know What They Don’t Know,icml.cc/media/icml-2021/Slides/9665.pdf,proceedings.mlr.press/v139/havtorn21a/havtorn21a.pdf
43,Interactive Learning from Activity Description,icml.cc/media/icml-2021/Slides/10497.pdf,proceedings.mlr.press/v139/nguyen21e/nguyen21e.pdf
44,Decision-Making Under Selective Labels: Optimal Finite-Domain Policies and Beyond,icml.cc/media/icml-2021/Slides/10109.pdf,proceedings.mlr.press/v139/wei21a/wei21a.pdf
45,Directional Graph Networks,icml.cc/media/icml-2021/Slides/10053.pdf,proceedings.mlr.press/v139/beaini21a/beaini21a.pdf
46,Thinking Like Transformers,icml.cc/media/icml-2021/Slides/9995.pdf,proceedings.mlr.press/v139/weiss21a/weiss21a.pdf
47,World Model as a Graph: Learning Latent Landmarks for Planning,icml.cc/media/icml-2021/Slides/10063.pdf,proceedings.mlr.press/v139/zhang21x/zhang21x.pdf
48,Inverse Constrained Reinforcement Learning,icml.cc/media/icml-2021/Slides/9667.pdf,proceedings.mlr.press/v139/malik21a/malik21a.pdf
49,Momentum Residual Neural Networks,icml.cc/media/icml-2021/Slides/9463.pdf,proceedings.mlr.press/v139/sander21a/sander21a.pdf
50,Fundamental Tradeoffs in Distributionally Adversarial Training,icml.cc/media/icml-2021/Slides/8907.pdf,proceedings.mlr.press/v139/mehrabi21a/mehrabi21a.pdf
51,Multi-Agent Training beyond Zero-Sum with Correlated Equilibrium Meta-Solvers,icml.cc/media/icml-2021/Slides/10003.pdf,proceedings.mlr.press/v139/marris21a/marris21a.pdf
52,Multiplicative Noise and Heavy Tails in Stochastic Optimization,icml.cc/media/icml-2021/Slides/9187.pdf,proceedings.mlr.press/v139/hodgkinson21a/hodgkinson21a.pdf
53,Interpretable Stability Bounds for Spectral Graph Filters,icml.cc/media/icml-2021/Slides/10145.pdf,proceedings.mlr.press/v139/kenlay21a/kenlay21a.pdf
54,State Entropy Maximization with Random Encoders for Efficient Exploration,icml.cc/media/icml-2021/Slides/9857.pdf,proceedings.mlr.press/v139/seo21a/seo21a.pdf
55,Not All Memories are Created Equal: Learning to Forget by Expiring,icml.cc/media/icml-2021/Slides/10741.pdf,proceedings.mlr.press/v139/sukhbaatar21a/sukhbaatar21a.pdf
56,Generative Video Transformer: Can Objects be the Words?,icml.cc/media/icml-2021/Slides/9969.pdf,proceedings.mlr.press/v139/wu21h/wu21h.pdf
57,Demonstration-Conditioned Reinforcement Learning for Few-Shot Imitation,icml.cc/media/icml-2021/Slides/10007.pdf,proceedings.mlr.press/v139/dance21a/dance21a.pdf
58,Projection Robust Wasserstein Barycenters,icml.cc/media/icml-2021/Slides/10607.pdf,proceedings.mlr.press/v139/huang21f/huang21f.pdf
59,Self Normalizing Flows,icml.cc/media/icml-2021/Slides/10717.pdf,proceedings.mlr.press/v139/keller21a/keller21a.pdf
60,Zeroth-Order Non-Convex Learning via Hierarchical Dual Averaging,icml.cc/media/icml-2021/Slides/10737.pdf,proceedings.mlr.press/v139/heliou21a/heliou21a.pdf
61,Consistent Nonparametric Methods for Network Assisted Covariate Estimation,icml.cc/media/icml-2021/Slides/9083.pdf,proceedings.mlr.press/v139/mao21a/mao21a.pdf
62,PixelTransformer: Sample Conditioned Signal Generation,icml.cc/media/icml-2021/Slides/8635.pdf,proceedings.mlr.press/v139/tulsiani21a/tulsiani21a.pdf
63,Learning Task Informed Abstractions,icml.cc/media/icml-2021/Slides/9551.pdf,proceedings.mlr.press/v139/fu21b/fu21b.pdf
64,Stability and Convergence of Stochastic Gradient Clipping: Beyond Lipschitz Continuity and Smoothness,icml.cc/media/icml-2021/Slides/10373.pdf,proceedings.mlr.press/v139/mai21a/mai21a.pdf
65,Scalable Marginal Likelihood Estimation for Model Selection in Deep Learning,icml.cc/media/icml-2021/Slides/9469.pdf,proceedings.mlr.press/v139/immer21a/immer21a.pdf
66,Fast Projection Onto Convex Smooth Constraints,icml.cc/media/icml-2021/Slides/9373.pdf,proceedings.mlr.press/v139/usmanova21a/usmanova21a.pdf
67,LTL2Action: Generalizing LTL Instructions for Multi-Task RL,icml.cc/media/icml-2021/Slides/9191_KcqXUSP.pdf,proceedings.mlr.press/v139/vaezipoor21a/vaezipoor21a.pdf
68,Neuro-algorithmic Policies Enable Fast Combinatorial Generalization,icml.cc/media/icml-2021/Slides/9465.pdf,proceedings.mlr.press/v139/vlastelica21a/vlastelica21a.pdf
69,Unbalanced minibatch Optimal Transport; applications to Domain Adaptation,icml.cc/media/icml-2021/Slides/8555.pdf,proceedings.mlr.press/v139/fatras21a/fatras21a.pdf
70,Federated Learning of User Verification Models Without Sharing Embeddings,icml.cc/media/icml-2021/Slides/8753.pdf,proceedings.mlr.press/v139/hosseini21a/hosseini21a.pdf
71,Decoupling Value and Policy for Generalization in Reinforcement Learning,icml.cc/media/icml-2021/Slides/9343.pdf,proceedings.mlr.press/v139/raileanu21a/raileanu21a.pdf
72,"Scalable Optimal Transport in High Dimensions for Graph Distances, Embedding Alignment, and More",icml.cc/media/icml-2021/Slides/8777.pdf,proceedings.mlr.press/v139/gasteiger21a/gasteiger21a.pdf
73,Scalable Computations of Wasserstein Barycenter via Input Convex Neural Networks,icml.cc/media/icml-2021/Slides/8951_qv4N7UL.pdf,proceedings.mlr.press/v139/fan21d/fan21d.pdf
74,Asynchronous Decentralized Optimization With Implicit Stochastic Variance Reduction,icml.cc/media/icml-2021/Slides/8957.pdf,proceedings.mlr.press/v139/niwa21a/niwa21a.pdf
75,Order Matters: Probabilistic Modeling of Node Sequence for Graph Generation,icml.cc/media/icml-2021/Slides/8963_1Jyx6OI.pdf,proceedings.mlr.press/v139/chen21j/chen21j.pdf
76,Generative Adversarial Transformers,icml.cc/media/icml-2021/Slides/8997.pdf,proceedings.mlr.press/v139/hudson21a/hudson21a.pdf
77,Generative Particle Variational Inference via Estimation of Functional Gradients,icml.cc/media/icml-2021/Slides/9249.pdf,proceedings.mlr.press/v139/ratzlaff21a/ratzlaff21a.pdf
78,Size-Invariant Graph Representations for Graph Classification Extrapolations,icml.cc/media/icml-2021/Slides/9239.pdf,proceedings.mlr.press/v139/bevilacqua21a/bevilacqua21a.pdf
79,Voice2Series: Reprogramming Acoustic Models for Time Series Classification,icml.cc/media/icml-2021/Slides/9059.pdf,proceedings.mlr.press/v139/yang21j/yang21j.pdf
80,OptiDICE: Offline Policy Optimization via Stationary Distribution Correction Estimation,icml.cc/media/icml-2021/Slides/10187.pdf,proceedings.mlr.press/v139/lee21f/lee21f.pdf
81,Shortest-Path Constrained Reinforcement Learning for Sparse Reward Tasks,icml.cc/media/icml-2021/Slides/9117.pdf,proceedings.mlr.press/v139/sohn21a/sohn21a.pdf
82,Taylor Expansion of Discount Factors,icml.cc/media/icml-2021/Slides/10085_HIJXySS.pdf,proceedings.mlr.press/v139/tang21b/tang21b.pdf
83,Prioritized Level Replay,icml.cc/media/icml-2021/Slides/9283.pdf,proceedings.mlr.press/v139/jiang21b/jiang21b.pdf
84,Federated Composite Optimization,icml.cc/media/icml-2021/Slides/10485.pdf,proceedings.mlr.press/v139/yuan21d/yuan21d.pdf
