,titles,slides,papers
0,Exact Optimal Accelerated Complexity for Fixed-Point Iterations,icml.cc/media/icml-2022/Slides/17040_tMvH5zY.pdf,proceedings.mlr.press/v162/park22c/park22c.pdf
1,Online Learning for Min Sum Set Cover and Pandora’s Box,icml.cc/media/icml-2022/Slides/17418.pdf,proceedings.mlr.press/v162/gergatsouli22a/gergatsouli22a.pdf
2,Tackling covariate shift with node-based Bayesian neural networks,icml.cc/media/icml-2022/Slides/17368_nXMQMZ0.pdf,proceedings.mlr.press/v162/trinh22a/trinh22a.pdf
3,Dynamic Regret of Online Markov Decision Processes,icml.cc/media/icml-2022/Slides/17646.pdf,proceedings.mlr.press/v162/zhao22c/zhao22c.pdf
4,Multi-Task Learning as a Bargaining Game,icml.cc/media/icml-2022/Slides/17114.pdf,proceedings.mlr.press/v162/navon22a/navon22a.pdf
5,Exploring and Exploiting Hubness Priors for High-Quality GAN Latent Sampling,icml.cc/media/icml-2022/Slides/16224.pdf,proceedings.mlr.press/v162/liang22b/liang22b.pdf
6,Structural Entropy Guided Graph Hierarchical Pooling,icml.cc/media/icml-2022/Slides/15960.pdf,proceedings.mlr.press/v162/wu22b/wu22b.pdf
7,On the Impossibility of Learning to Cooperate with Adaptive Partner Strategies in Repeated Games,icml.cc/media/icml-2022/Slides/17014.pdf,proceedings.mlr.press/v162/loftin22a/loftin22a.pdf
8,ButterflyFlow: Building Invertible Layers with Butterfly Matrices,icml.cc/media/icml-2022/Slides/16920.pdf,proceedings.mlr.press/v162/meng22a/meng22a.pdf
9,Frustratingly Easy Transferability Estimation,icml.cc/media/icml-2022/Slides/17386.pdf,proceedings.mlr.press/v162/huang22d/huang22d.pdf
10,Self-Supervised Representation Learning via Latent Graph Prediction,icml.cc/media/icml-2022/Slides/15996.pdf,proceedings.mlr.press/v162/xie22e/xie22e.pdf
11,DSTAGNN: Dynamic Spatial-Temporal Aware Graph Neural Network for Traffic Flow Forecasting,icml.cc/media/icml-2022/Slides/16008.pdf,proceedings.mlr.press/v162/lan22a/lan22a.pdf
12,Distributional Hamilton-Jacobi-Bellman Equations for Continuous-Time Reinforcement Learning,icml.cc/media/icml-2022/Slides/17076.pdf,proceedings.mlr.press/v162/wiltzer22a/wiltzer22a.pdf
13,Transformer Neural Processes: Uncertainty-Aware Meta Learning Via Sequence Modeling,icml.cc/media/icml-2022/Slides/17524_JaSq5IX.pdf,proceedings.mlr.press/v162/nguyen22b/nguyen22b.pdf
14,Controlling Conditional Language Models without Catastrophic Forgetting,icml.cc/media/icml-2022/Slides/16288_pIsVCHL.pdf,proceedings.mlr.press/v162/korbak22a/korbak22a.pdf
15,Robust Models Are More Interpretable Because Attributions Look Normal,icml.cc/media/icml-2022/Slides/16004.pdf,proceedings.mlr.press/v162/wang22e/wang22e.pdf
16,Sequential Covariate Shift Detection Using Classifier Two-Sample Tests,icml.cc/media/icml-2022/Slides/16272_jErbqSA.pdf,proceedings.mlr.press/v162/jang22a/jang22a.pdf
17,A Difference Standardization Method for Mutual Transfer Learning,icml.cc/media/icml-2022/Slides/17526.pdf,proceedings.mlr.press/v162/xu22j/xu22j.pdf
18,Latent Diffusion Energy-Based Model for Interpretable Text Modelling,icml.cc/media/icml-2022/Slides/17722_UKjsaZy.pdf,proceedings.mlr.press/v162/yu22h/yu22h.pdf
19,Coarsening the Granularity: Towards Structurally Sparse Lottery Tickets,icml.cc/media/icml-2022/Slides/16042.pdf,proceedings.mlr.press/v162/chen22a/chen22a.pdf
20,Smoothed Adversarial Linear Contextual Bandits with Knapsacks,icml.cc/media/icml-2022/Slides/17424.pdf,proceedings.mlr.press/v162/sivakumar22a/sivakumar22a.pdf
21,Fast Convex Optimization for Two-Layer ReLU Networks: Equivalent Model Classes and Cone Decompositions,icml.cc/media/icml-2022/Slides/16550.pdf,proceedings.mlr.press/v162/mishkin22a/mishkin22a.pdf
22,ShiftAddNAS: Hardware-Inspired Search for More Accurate and Efficient Neural Networks,icml.cc/media/icml-2022/Slides/16350.pdf,proceedings.mlr.press/v162/you22a/you22a.pdf
23,Structure-preserving GANs,icml.cc/media/icml-2022/Slides/16380.pdf,proceedings.mlr.press/v162/birrell22a/birrell22a.pdf
24,Omni-Granular Ego-Semantic Propagation for Self-Supervised Graph Representation Learning,icml.cc/media/icml-2022/Slides/16120.pdf,proceedings.mlr.press/v162/yang22d/yang22d.pdf
25,UNIREX: A Unified Learning Framework for Language Model Rationale Extraction,icml.cc/media/icml-2022/Slides/17778_aktVoJx.pdf,proceedings.mlr.press/v162/chan22a/chan22a.pdf
26,Improving Task-free Continual Learning by Distributionally Robust Memory Evolution,icml.cc/media/icml-2022/Slides/17576.pdf,proceedings.mlr.press/v162/wang22v/wang22v.pdf
27,A Completely Tuning-Free and Robust Approach to Sparse Precision Matrix Estimation,icml.cc/media/icml-2022/Slides/17674.pdf,proceedings.mlr.press/v162/tran22b/tran22b.pdf
28,Simultaneously Learning Stochastic and Adversarial Bandits with General Graph Feedback,icml.cc/media/icml-2022/Slides/17906.pdf,proceedings.mlr.press/v162/kong22b/kong22b.pdf
29,Provably Adversarially Robust Nearest Prototype Classifiers,icml.cc/media/icml-2022/Slides/17804.pdf,proceedings.mlr.press/v162/voracek22a/voracek22a.pdf
30,Mirror Learning: A Unifying Framework of Policy Optimisation,icml.cc/media/icml-2022/Slides/17442_cVqa990.pdf,proceedings.mlr.press/v162/grudzien22a/grudzien22a.pdf
31,A Multi-objective / Multi-task Learning Framework Induced by Pareto Stationarity,icml.cc/media/icml-2022/Slides/17628_Iinx0p9.pdf,proceedings.mlr.press/v162/momma22a/momma22a.pdf
32,Black-Box Tuning for Language-Model-as-a-Service,icml.cc/media/icml-2022/Slides/17784.pdf,proceedings.mlr.press/v162/sun22e/sun22e.pdf
