,titles,slides,papers
0,ControlVAE: Controllable Variational Autoencoder,icml.cc/media/icml-2020/Slides/6510.pdf,proceedings.mlr.press/v119/shao20b/shao20b.pdf
1,Self-Concordant Analysis of Frank-Wolfe Algorithms,icml.cc/media/icml-2020/Slides/6125.pdf,proceedings.mlr.press/v119/dvurechensky20a/dvurechensky20a.pdf
2,Individual Fairness for k-Clustering,icml.cc/media/icml-2020/Slides/6504.pdf,proceedings.mlr.press/v119/mahabadi20a/mahabadi20a.pdf
3,Reverse-engineering deep ReLU networks,icml.cc/media/icml-2020/Slides/5765.pdf,proceedings.mlr.press/v119/rolnick20a/rolnick20a.pdf
4,Nested Subspace Arrangement for Representation of Relational Data,icml.cc/media/icml-2020/Slides/6106.pdf,proceedings.mlr.press/v119/hata20a/hata20a.pdf
5,Private Reinforcement Learning with PAC and Regret Guarantees,icml.cc/media/icml-2020/Slides/6152.pdf,proceedings.mlr.press/v119/vietri20a/vietri20a.pdf
6,What Can Learned Intrinsic Rewards Capture?,icml.cc/media/icml-2020/Slides/6150.pdf,proceedings.mlr.press/v119/zheng20b/zheng20b.pdf
7,Laplacian Regularized Few-Shot Learning,icml.cc/media/icml-2020/Slides/6480.pdf,proceedings.mlr.press/v119/ziko20a/ziko20a.pdf
8,Concentration bounds for CVaR estimation: The cases of light-tailed and heavy-tailed distributions,icml.cc/media/icml-2020/Slides/6104.pdf,proceedings.mlr.press/v119/l-a-20a/l-a-20a.pdf
9,A Simple Framework for Contrastive Learning of Visual Representations,icml.cc/media/icml-2020/Slides/6762.pdf,proceedings.mlr.press/v119/chen20j/chen20j.pdf
10,Distance Metric Learning with Joint Representation Diversification,icml.cc/media/icml-2020/Slides/6438.pdf,proceedings.mlr.press/v119/chu20a/chu20a.pdf
11,Learning with Multiple Complementary Labels,icml.cc/media/icml-2020/Slides/6084.pdf,proceedings.mlr.press/v119/feng20a/feng20a.pdf
12,LEEP: A New Measure to Evaluate Transferability of Learned Representations,icml.cc/media/icml-2020/Slides/6289.pdf,proceedings.mlr.press/v119/nguyen20b/nguyen20b.pdf
13,Familywise Error Rate Control by Interactive Unmasking,icml.cc/media/icml-2020/Slides/6595.pdf,proceedings.mlr.press/v119/duan20d/duan20d.pdf
14,Efficient Domain Generalization via Common-Specific Low-Rank Decomposition,icml.cc/media/icml-2020/Slides/6528_Xl1QrB5.pdf,proceedings.mlr.press/v119/piratla20a/piratla20a.pdf
15,Mutual Transfer Learning for Massive Data,icml.cc/media/icml-2020/Slides/6661.pdf,proceedings.mlr.press/v119/cheng20d/cheng20d.pdf
