,titles,slides,papers
0,A Contrastive Divergence for Combining Variational Inference and MCMC,icml.cc/media/icml-2019/Slides/4697.pdf,proceedings.mlr.press/v97/ruiz19a/ruiz19a.pdf
1,Regret Circuits: Composability of Regret Minimizers,icml.cc/media/icml-2019/Slides/4434.pdf,proceedings.mlr.press/v97/farina19b/farina19b.pdf
2,Adversarial Attacks on Node Embeddings via Graph Poisoning,icml.cc/media/icml-2019/Slides/4730.pdf,proceedings.mlr.press/v97/bojchevski19a/bojchevski19a.pdf
3,PA-GD: On the Convergence of Perturbed Alternating Gradient Descent to Second-Order Stationary Points for Structured Nonconvex Optimization,icml.cc/media/icml-2019/Slides/4752.pdf,proceedings.mlr.press/v97/lu19a/lu19a.pdf
4,Calibrated Approximate Bayesian Inference,icml.cc/media/icml-2019/Slides/4698.pdf,proceedings.mlr.press/v97/xing19a/xing19a.pdf
5,Manifold Mixup: Better Representations by Interpolating Hidden States,icml.cc/media/icml-2019/Slides/4511.pdf,proceedings.mlr.press/v97/verma19a/verma19a.pdf
6,Game Theoretic Optimization via Gradient-based Nikaido-Isoda Function,icml.cc/media/icml-2019/Slides/4435.pdf,proceedings.mlr.press/v97/raghunathan19a/raghunathan19a.pdf
7,On Efficient Optimal Transport: An Analysis of Greedy and Accelerated Mirror Descent Algorithms,icml.cc/media/icml-2019/Slides/5014.pdf,proceedings.mlr.press/v97/lin19a/lin19a.pdf
8,First-Order Adversarial Vulnerability of Neural Networks and Input Dimension,icml.cc/media/icml-2019/Slides/4731.pdf,proceedings.mlr.press/v97/simon-gabriel19a/simon-gabriel19a.pdf
9,"Ithemal: Accurate, Portable and Fast Basic Block Throughput Estimation using Deep Neural Networks",icml.cc/media/icml-2019/Slides/4819.pdf,proceedings.mlr.press/v97/mendis19a/mendis19a.pdf
10,Making Deep Q-learning methods robust to time discretization,icml.cc/media/icml-2019/Slides/4577.pdf,proceedings.mlr.press/v97/tallec19a/tallec19a.pdf
11,Feature Grouping as a Stochastic Regularizer for High-Dimensional Structured Data,icml.cc/media/icml-2019/Slides/4391.pdf,proceedings.mlr.press/v97/aydore19a/aydore19a.pdf
12,Improved Zeroth-Order Variance Reduced Algorithms and Analysis for Nonconvex Optimization,icml.cc/media/icml-2019/Slides/4753.pdf,proceedings.mlr.press/v97/ji19a/ji19a.pdf
13,Stable-Predictive Optimistic Counterfactual Regret Minimization,icml.cc/media/icml-2019/Slides/4436.pdf,proceedings.mlr.press/v97/farina19a/farina19a.pdf
14,Metric-Optimized Example Weights,icml.cc/media/icml-2019/Slides/4392.pdf,proceedings.mlr.press/v97/zhao19b/zhao19b.pdf
15,Learning to Groove with Inverse Sequence Transformations,icml.cc/media/icml-2019/Slides/4820.pdf,proceedings.mlr.press/v97/gillick19a/gillick19a.pdf
16,Passed & Spurious: Descent Algorithms and Local Minima in Spiked Matrix-Tensor Models,icml.cc/media/icml-2019/Slides/5015.pdf,proceedings.mlr.press/v97/mannelli19a/mannelli19a.pdf
17,On Certifying Non-Uniform Bounds against Adversarial Attacks,icml.cc/media/icml-2019/Slides/4732.pdf,proceedings.mlr.press/v97/liu19h/liu19h.pdf
18,Nonlinear Distributional Gradient Temporal-Difference Learning,icml.cc/media/icml-2019/Slides/4578.pdf,proceedings.mlr.press/v97/qu19b/qu19b.pdf
19,Moment-Based Variational Inference for Markov Jump Processes,icml.cc/media/icml-2019/Slides/4699.pdf,proceedings.mlr.press/v97/wildner19a/wildner19a.pdf
20,Faster Stochastic Alternating Direction Method of Multipliers for Nonconvex Optimization,icml.cc/media/icml-2019/Slides/4754.pdf,proceedings.mlr.press/v97/huang19a/huang19a.pdf
